GexfID,Title,IMDB_id,ReleaseDate,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters,rating
1,10 Things I Hate About You,tt0147800,1999,10-Things-I-Hate-About-You,13.04,0.194,1.779,3,0.567,3,0.233,225,25,7.2
2,12,tt0488478,2007,12,4.227,0.517,2.17,3,0.61,6,0.077,102,42,7.6
5,127 Hours,tt1542344,2010,127-Hours,3.833,0.16,1.722,2,0.339,4,0.152,33,11,7.6
6,1492: Conquest of Paradise,tt0103594,1992,1492:-Conquest-of-Paradise,7.941,0.35,2.043,4,0.705,1,0.153,164,34,6.5
7,15 Minutes,tt0179626,2001,15-Minutes,8.784,0.344,2.114,4,0.713,4,0.12,265,47,6.1
8,17 Again,tt0974661,2009,17-Again,13.027,0.252,1.879,3,0.794,2,0.192,307,37,6.4
9,One Eight Seven,tt0118531,1997,One-Eight-Seven,6,0.423,2.206,4,0.713,2,0.121,116,33,6.7
10,2001: A Space Odyssey,tt0062622,1968,2001:-A-Space-Odyssey,8.444,0.45,1.795,3,0.879,1,0.291,122,27,8.3
11,2012,tt1190080,2009,2012,10.6,0.438,2.519,5,0.647,3,0.089,470,69,5.8
13,44 Inch Chest,tt0914837,2009,44-Inch-Chest,33.5,0.163,1.655,3,0.636,2,0.348,332,12,5.8
14,48 Hrs.,tt0083511,1982,48-Hrs.,7.511,0.429,2.049,3,0.76,4,0.125,210,44,6.9
15,(500) Days of Summer,tt1022603,2009,(500)-Days-of-Summer,9.929,0.221,1.833,3,0.665,4,0.177,173,21,7.7
17,8MM,tt0134273,1999,8MM,5.923,0.268,1.834,2,0.442,4,0.129,96,25,6.5
19,A Few Good Men,tt0104257,1992,A-Few-Good-Men,17.533,0.28,2.02,4,0.67,2,0.175,376,28,7.6
21,Above the Law,tt0094602,1988,Above-the-Law,6.766,0.36,2.116,5,0.579,8,0.089,189,44,5.9
22,Absolute Power,tt0118548,1997,Absolute-Power,6.69,0.428,2.319,4,0.48,3,0.113,137,29,6.7
23,The Abyss,tt0096754,1989,The-Abyss,14.667,0.36,1.826,3,0.783,5,0.17,383,36,7.6
24,Ace Ventura: Pet Detective,tt0109040,1994,Ace-Ventura:-Pet-Detective,6.59,0.449,2.103,3,0.666,8,0.081,210,52,6.9
25,Adaptation.,tt0268126,2002,Adaptation.,5.257,0.427,2.446,4,0.288,6,0.074,116,35,7.7
26,The Addams Family,tt0101272,1991,The-Addams-Family,13.733,0.071,1.462,3,0.665,3,0.419,151,15,6.8
27,The Adventures of Buckaroo Banzai Across the 8th Dimension,tt0086856,1984,The-Adventures-of-Buckaroo-Banzai-Across-the-8th-Dimension,11.29,0.346,2.225,5,0.547,9,0.11,396,52,6.4
28,Affliction,tt0118564,1997,Affliction,8.667,0.296,1.899,4,0.624,1,0.207,140,24,7
30,After Life,tt0838247,2009,After.Life,7.077,0.342,2.087,3,0.616,3,0.126,110,28,5.9
31,Agnes of God,tt0088683,1985,Agnes-of-God,13.524,0.254,1.514,2,0.835,1,0.486,164,21,6.6
32,Air Force One,tt0118571,1997,Air-Force-One,7.719,0.438,2.465,6,0.506,10,0.076,302,60,6.4
33,Airplane!,tt0080339,1980,Airplane!,5.958,0.511,1.975,4,0.556,9,0.086,178,46,7.8
34,Airplane II: The Sequel,tt0083530,1982,Airplane-II:-The-Sequel,9.043,0.492,2.611,6,0.683,10,0.061,493,103,6.1
36,Ali,tt0248667,2001,Ali,9.128,0.379,2.234,5,0.659,3,0.088,345,71,6.8
39,Alien Nation,tt0094631,1988,Alien-Nation,7.765,0.342,1.865,3,0.762,4,0.148,165,34,6.3
40,AVP: Alien vs. Predator,tt0370263,2004,AVP:-Alien-vs.-Predator,12.48,0.286,2.033,4,0.667,2,0.253,209,22,5.6
41,Alien: Resurrection,tt0118583,1997,Alien:-Resurrection,26.414,0.15,1.758,4,0.658,3,0.347,478,27,6.3
42,Aliens,tt0090605,1986,Aliens,18.867,0.234,1.791,3,0.698,5,0.248,401,28,8.4
43,All About Eve,tt0042192,1950,All-About-Eve,16.5,0.08,1.567,3,0.813,2,0.416,234,20,8.3
44,All About Steve,tt0881891,2009,All-About-Steve,6.207,0.384,2.237,5,0.529,13,0.068,229,56,4.8
47,Almost Famous,tt0181875,2000,Almost-Famous,13.345,0.339,2.028,4,0.73,3,0.139,462,53,7.9
48,Alone in the Dark,tt0369226,2005,Alone-in-the-Dark,8.552,0.267,2.211,4,0.56,3,0.175,152,26,2.3
49,Amadeus,tt0086879,1984,Amadeus,11.02,0.422,2.265,5,0.795,2,0.149,290,44,8.3
50,Amelia,tt0211915,2001,Amelia,8.375,0.341,2.044,4,0.678,4,0.112,111,28,8.4
51,American Beauty,tt0169547,1999,American-Beauty,9.304,0.278,1.957,3,0.563,2,0.182,144,23,8.4
52,American Gangster,tt0765429,2007,American-Gangster,5.031,0.418,2.385,4,0.456,6,0.059,176,56,7.8
54,American History X,tt0120586,1998,American-History-X,10.146,0.363,2.381,5,0.638,2,0.141,268,40,8.6
57,American Pie,tt0163651,1999,American-Pie,10.81,0.304,1.988,3,0.602,7,0.13,284,39,7
58,The American President,tt0112346,1995,The-American-President,9.649,0.352,2.143,4,0.701,7,0.105,324,56,6.8
59,American Psycho,tt0144084,2000,American-Psycho,5.714,0.308,1.818,2,0.702,3,0.156,99,27,7.6
60,American Shaolin,tt0101327,1991,American-Shaolin,7.588,0.421,2.182,3,0.639,2,0.132,156,32,5.8
61,American Splendor,tt0305206,2003,American-Splendor,7.435,0.374,1.915,3,0.696,6,0.09,162,36,7.5
62,An American Werewolf in London,tt0082010,1981,An-American-Werewolf-in-London,6.462,0.353,2.054,4,0.523,7,0.119,139,37,7.6
63,An Education,tt1174732,2009,An-Education,15.8,0.274,1.791,3,0.602,3,0.242,227,20,7.3
64,Analyze That,tt0289848,2002,Analyze-That,7.837,0.396,2.277,5,0.651,3,0.111,242,48,5.9
65,Analyze This,tt0122933,1999,Analyze-This,10.143,0.284,2,4,0.62,4,0.151,263,39,6.7
66,Anastasia,tt0118617,1997,Anastasia,9.875,0.34,1.952,3,0.821,1,0.206,155,27,7.1
67,Angel Eyes,tt0225071,2001,Angel-Eyes,7.706,0.355,1.929,3,0.788,1,0.16,158,33,5.6
68,Angels & Demons,tt0808151,2009,Angels-&-Demons,8.129,0.374,2.307,5,0.587,4,0.131,155,25,8.4
69,Annie Hall,tt0075686,1977,Annie-Hall,8.179,0.399,1.863,2,0.828,4,0.123,254,54,8.1
70,The Anniversary Party,tt0254099,2001,The-Anniversary-Party,22.69,0.106,1.552,3,0.846,1,0.473,412,27,6.3
71,Antitrust,tt0218817,2001,Antitrust,8.125,0.369,2.157,5,0.663,4,0.108,240,46,6.1
72,Antz,tt0120587,1998,Antz,9.7,0.296,1.996,4,0.678,3,0.192,204,39,6.6
73,The Apartment,tt0053604,1960,The-Apartment,7.818,0.267,2.045,4,0.605,1,0.144,151,31,8.3
74,Apocalypse Now,tt0078788,1979,Apocalypse-Now,15.409,0.219,1.753,3,0.822,2,0.251,344,39,8.5
76,Apt Pupil,tt0118636,1998,Apt-Pupil,8.75,0.208,1.819,3,0.575,4,0.203,146,23,6.7
80,Army of Darkness,tt0106308,1992,Army-of-Darkness,6.154,0.269,1.81,3,0.661,4,0.209,85,24,7.6
81,As Good as It Gets,tt0119822,1997,As-Good-as-It-Gets,6.971,0.468,2.22,3,0.658,1,0.124,160,35,7.7
82,Assassins,tt0112401,1995,Assassins,4.947,0.414,2.287,4,0.321,3,0.14,60,17,6.3
83,The Assignment,tt0118647,1997,The-Assignment,6.885,0.399,2.508,5,0.49,6,0.083,137,42,4.5
84,At First Sight,tt0132512,1999,At-First-Sight,8.533,0.228,1.803,3,0.722,4,0.168,159,27,5.9
85,Austin Powers: International Man of Mystery,tt0118655,1997,Austin-Powers:-International-Man-of-Mystery,6.192,0.436,2.07,4,0.737,6,0.09,167,45,7
86,Austin Powers: The Spy Who Shagged Me,tt0145660,1999,Austin-Powers:-The-Spy-Who-Shagged-Me,5.175,0.497,2.151,4,0.526,15,0.064,174,56,6.6
87,Autumn in New York,tt0174480,2000,Autumn-in-New-York,9.486,0.317,1.881,3,0.773,1,0.17,204,32,5.5
88,Avatar,tt0499549,2009,Avatar,15.125,0.264,1.897,3,0.778,2,0.222,310,29,7.8
89,The Avengers,tt0054518,1961,The-Avengers,8.583,0.22,1.771,2,0.617,4,0.174,147,23,8.1
91,Awakenings,tt0099077,1990,Awakenings,12.364,0.269,1.905,3,0.752,3,0.176,382,50,7.8
92,Babel,tt0449467,2006,Babel,6.486,0.689,3.941,9,0.672,2,0.058,301,73,7.5
93,Bachelor Party,tt0086927,1984,Bachelor-Party,12.957,0.334,2.011,4,0.771,5,0.131,374,46,6.3
97,Backdraft,tt0101393,1991,Backdraft,14.537,0.196,1.969,4,0.704,2,0.212,341,36,6.7
98,Bad Boys,tt0112442,1995,Bad-Boys,9.25,0.298,2.121,3,0.707,3,0.122,257,40,6.8
99,Bad Day at Black Rock,tt0047849,1955,Bad-Day-at-Black-Rock,12.778,0.077,1.557,3,0.648,3,0.333,142,14,7.8
100,The Bad Lieutenant: Port of Call - New Orleans,tt1095217,2009,The-Bad-Lieutenant:-Port-of-Call---New-Orleans,4.091,0.476,1.93,3,0.714,6,0.089,87,37,6.7
101,Bad Santa,tt0307987,2003,Bad-Santa,5.368,0.323,1.964,3,0.561,7,0.101,120,33,7.1
102,Badlands,tt0069762,1973,Badlands,6.526,0.269,1.889,3,0.607,2,0.164,69,16,8.1
103,Bamboozled,tt0215545,2000,Bamboozled,10.852,0.447,2.114,3,0.659,4,0.111,289,56,6.5
104,Barry Lyndon,tt0072684,1975,Barry-Lyndon,5.755,0.449,1.981,3,0.612,3,0.081,159,47,8.1
106,Basic,tt0264395,2003,Basic,16.545,0.25,1.922,4,0.715,1,0.281,250,18,6.5
107,Basic Instinct,tt0103772,1992,Basic-Instinct,13.68,0.187,1.72,2,0.799,1,0.28,236,24,6.9
108,Basquiat,tt0115632,1996,Basquiat,14.426,0.277,1.793,2,0.792,2,0.2,478,58,6.9
109,Batman,tt0096895,1989,Batman,5.574,0.451,2.464,5,0.593,10,0.072,194,58,7.6
110,Batman Returns,tt0103776,1992,Batman-Returns,6.133,0.589,2.969,7,0.708,5,0.078,190,54,7
111,The Battle of Algiers,tt0058946,1966,The-Battle-of-Algiers,3.962,0.58,2.948,7,0.495,9,0.066,93,48,8.1
112,The Battle of Shaker Heights,tt0357470,2003,The-Battle-of-Shaker-Heights,8.059,0.311,2.039,4,0.738,1,0.148,166,32,6.1
113,The Beach,tt0163978,2000,The-Beach,8.811,0.41,1.863,3,0.751,1,0.168,182,35,6.6
114,Bean,tt0118689,1997,Bean,9.158,0.42,2.879,8,0.54,7,0.119,213,37,6.4
